"교육청명","교육지원청명","유치원코드","유치원명","설립유형","대표자명","원장명","설립일","개원일","주소","전화번호","홈페이지","운영시간","만3세학급수","만4세학급수","만5세학급수","혼합학급수","특수학급수","만3세유아수","만4세유아수","만5세유아수","혼합유아수","특수유아수","공시차수"
"서울특별시교육청","강서양천교육지원청","1ecec08d-03f7-b044-e053-0a32095ab044","아이파크예원유치원","사립(사인)","김경신","임향숙","20080201","20071226","서울특별시 강서구 강서로 266","02-2695-2940","","09시00분~18시30분","2","2","2","0","","30","36","53","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08d-04c7-b044-e053-0a32095ab044","동그라미유치원","사립(사인)","장청자","윤선주","19880122","20040313","서울특별시 강서구 화곡로52길 14","02-2691-2525","","08시00분~19시00분","1","2","2","0","","35","43","56","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08d-05b7-b044-e053-0a32095ab044","국제유치원","사립(사인)","김영무","강금의","19900905","19900905","서울특별시 강서구 양천로30길 4","02-3662-7404","http://gook1990.kidsnote.ac","07시30분~19시30분","1","1","1","0","","11","16","20","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08d-05b9-b044-e053-0a32095ab044","등촌제일유치원","사립(법인)","재단법인예수교대한성결교회유지재단 ","조기염","19890331","19890331","서울특별시 강서구 화곡로66길 118","02-3663-6043","https://dcjikinder.kidsnote.ac","07시00분~19시30분","2","2","2","0","","41","48","52","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08d-06b7-b044-e053-0a32095ab044","미래클유치원","사립(사인)","김지언","윤종화","20081121","20081121","서울특별시 강서구 수명로1길 76","02-2667-7979","http://www.miraclekid.co.kr","09시00분~18시00분","2","2","2","0","","43","51","50","0","","20191"
"서울특별시교육청","강서양천교육지원청","1ecec08d-08ba-b044-e053-0a32095ab044","장미유치원","사립(사인)","윤혜진","윤혜진","19930317","19930317","서울특별시 강서구 허준로 139","02-2668-0262","","09시00분~18시00분","2","1","2","0","","25","26","37","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08d-08bd-b044-e053-0a32095ab044","홍신유치원","사립(사인)","나경민","나경민","19840920","19840920","서울특별시 강서구 강서로45길 63","02-2664-6456","https://www.hongshin1984.co.kr","09시00분~18시00분","1","2","2","0","","60","66","69","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08d-0993-b044-e053-0a32095ab044","아람유치원","사립(사인)","윤지향","윤지향","19950222","19950222","서울특별시 강서구 금낭화로23길 8","02-2664-8888","","07시00분~20시00분","2","1","1","0","","33","24","22","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08d-09f0-b044-e053-0a32095ab044","서울화일초등학교병설유치원","공립(병설)","최정애","최정애","20050511","20050511","서울특별시 강서구 까치산로10길 70","02-2602-2139","http://www.hwail.es.kr","07시30분~19시30분","1","1","1","0","","10","20","23","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08d-0b2b-b044-e053-0a32095ab044","윤서유치원","사립(사인)","전기옥","주유리","20030401","20030401","서울특별시 강서구 화곡로13길 107","02-2605-2277","","09시00분~18시00분","2","2","3","0","","33","48","74","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08d-0c02-b044-e053-0a32095ab044","미도유치원","사립(사인)","최순임","최순임","19850806","19850806","서울특별시 강서구 공항대로58가길 39","02-2651-5079","http://www.midokid.or.kr","07시00분~19시00분","1","1","2","0","","17","32","50","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08d-0d31-b044-e053-0a32095ab044","해리유치원","사립(사인)","배현기","박성자","19931202","19931202","서울특별시 강서구 허준로 234","02-2659-3296","","09시00분~18시30분","2","2","2","0","","48","50","51","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08d-0f76-b044-e053-0a32095ab044","예일유치원","사립(사인)","김혜경","최여울","20080114","20080114","서울특별시 강서구 강서로47길 126","02-2667-6767","","08시00분~18시30분","4","4","4","0","","94","103","119","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08d-0f78-b044-e053-0a32095ab044","우현유치원","사립(사인)","신숙희","한승종","20081209","20090305","서울특별시 강서구 강서로 348","02-2271-3700","http://woohyunchild.kidis.co.kr","07시30분~20시00분","1","1","1","0","","12","14","12","0","","20222"
"서울특별시교육청","강서양천교육지원청","1fc6dd86-ccbb-d1d2-e053-0a32095ad1d2","윤희유치원","사립(사인)","김정순,이진선,이기영,이기원","김정순","20150225","20150306","서울특별시 강서구 강서로 216-23","02-2693-4813","http://cafe.naver.com/yunheekindergarten","09시00분~17시30분","1","1","1","0","","12","13","18","0","","20222"
"서울특별시교육청","강서양천교육지원청","1fc6dd86-ccca-d1d2-e053-0a32095ad1d2","서울마곡유치원","공립(단설)","김한나","김한나","20141016","20150301","서울특별시 강서구 마곡서1로 139-13","02-2666-8071","http://www.서울마곡유치원.kr","07시00분~19시00분","2","3","3","0","2","30","59","66","0","10","20222"
"서울특별시교육청","강서양천교육지원청","1fd6777e-1513-e0b0-e053-0a32095ae0b0","밤비니유치원","사립(사인)","김순정","김순정","20150301","20150305","서울특별시 강서구 남부순환로7길 39","02-2664-7942","","07시00분~19시00분","","1","2","0","","","10","21","0","","20222"
"서울특별시교육청","강서양천교육지원청","1fd6777e-1532-e0b0-e053-0a32095ae0b0","행복한유치원","사립(사인)","권영운","이정인","20141128","20150302","서울특별시 강서구 강서로62길 40","02-3665-5113","","09시00분~19시00분","1","1","3","0","","21","20","58","0","","20222"
"서울특별시교육청","강서양천교육지원청","49466743-6302-46e6-beb6-71a05883b7fd","서울수명유치원","공립(단설)","김선미","김선미","20190711","20190902","서울특별시 강서구 수명로1길 76","02-6213-7979","http://www.서울수명유치원.kr","07시30분~19시30분","3","3","3","0","2","24","42","62","0","10","20222"
"서울특별시교육청","강서양천교육지원청","4c985951-85b6-4625-a43d-c1a1a42855fa","새싹유치원","사립(사인)","신화식","신화식","20151125","20160302","서울특별시 강서구 곰달래로49길 10","02-26511322","http://www.saessakkids.co.kr/","09시00분~13시00분","","","","0","","","","","0","","20201"
"서울특별시교육청","강서양천교육지원청","4cac393c-4205-4ac0-86c0-6f16aa97cae0","나나유치원","사립(사인)","최현숙","최현숙","20160224","20160302","서울특별시 강서구 등촌로13바길 46","02-2642-7300","","07시00분~19시00분","1","2","1","0","","14","32","25","0","","20222"
"서울특별시교육청","강서양천교육지원청","53e84c27-6bdd-49a9-9c73-887fa8bd28a2","서울금낭화유치원","공립(단설)","강상이","강상이","20190711","20190901","서울특별시 강서구 금낭화로 35","02-6219-0901","http://서울금낭화유치원.kr/home/","07시10분~19시30분","2","2","2","0","1","11","36","38","0","4","20222"
"서울특별시교육청","강서양천교육지원청","5e4a5892-4caf-4a0b-93ab-44d81b9557a2","서울신곡초등학교병설유치원","공립(병설)","김기순","김기순","20220301","20220301","서울특별시 강서구 등촌로13자길 42-14","02-2645-2640","https://sg.sen.es.kr/","07시30분~19시30분","1","2","1","0","1","5","7","6","0","4","20222"
"서울특별시교육청","강서양천교육지원청","7721e609-bd73-448b-8b96-f988a1c4757d","서울등촌초등학교병설유치원","공립(병설)","김종금","김종금","20180309","20180309","서울특별시 강서구 등촌로39길 71","02-2647-9280","https://deungchon.sen.es.kr","07시30분~19시30분","1","1","1","0","","2","15","13","0","","20222"
"서울특별시교육청","강서양천교육지원청","8114e0a3-e56e-47e5-a5d6-c2eef91cbed7","서울탑산초등학교병설유치원","공립(병설)","황의정","황의정","20150301","20150414","서울특별시 강서구 허준로 109","02-2659-5105","http://www.top.es.kr","07시00분~19시00분","1","1","1","0","1","13","18","17","0","4","20222"
"서울특별시교육청","강서양천교육지원청","8fe5f3aa-d57f-4d30-bf63-09e1b5ab5633","서울신월초등학교병설유치원","공립(병설)","최은희","최은희","20220301","20220311","서울특별시 강서구 강서로31길 48","02-2135-6380","https://ssinwol.sen.es.kr/","07시30분~19시30분","1","1","1","0","","10","9","19","0","","20222"
"서울특별시교육청","강서양천교육지원청","cd859395-2ba1-4f95-a3db-7c7a75b2d320","서울송정초등학교병설유치원","공립(병설)","한광현","한광현","20180927","20190301","서울특별시 강서구 공항대로3길 18","02-2662-7334","http://sjes.sen.es.kr","07시30분~19시30분","1","1","2","0","1","14","20","34","0","5","20222"
"서울특별시교육청","강서양천교육지원청","d0fe68a4-a1df-44ce-9072-87f9da3c301a","서울개화초등학교병설유치원","공립(병설)","이옥선","이옥선","20180301","20180301","서울특별시 강서구 양천로 11","02-2661-0493","https://gaehwa.sen.es.kr/","07시30분~19시30분","1","","1","0","","3","","5","0","","20222"
"서울특별시교육청","강서양천교육지원청","da318554-85fa-494c-9ab9-60fd25bb0ce2","이솔유치원","사립(사인)","김수진","김수진","20170228","20170301","서울특별시 강서구 곰달래로33가길 6",".02-2606-3181","","07시00분~19시00분","1","1","1","0","","18","22","20","0","","20222"
"서울특별시교육청","강서양천교육지원청","fd885965-9f40-46c1-879e-82acd096a57e","서울가양초등학교병설유치원","공립(병설)","박성기","박성기","20150301","20150301","서울특별시 강서구 허준로 186","02-3662-8731","https://kayang.sen.es.kr/","07시30분~20시00분","1","1","1","0","","5","12","21","0","","20222"
"서울특별시교육청","강서양천교육지원청","fe178e0b-2595-4d65-863b-0d8924203e02","서울등명초등학교병설유치원","공립(병설)","강연옥","강연옥","20180301","20180301","서울특별시 강서구 강서로56나길 34","02-36652394","http://www.dungmyong.es.kr","07시30분~19시30분","1","1","1","0","","4","14","11","0","","20222"
